date,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,perc_diff_price_ma7,perc_diff_price_ma21,perc_diff_price_upper_band,perc_diff_price_lower_band
2019-01-03,35.1161,35.34219,37.92629,36.71055345830277,35.85327801319827,-0.8572754451044986,1.393379604415617,40.71304920883124,35.13953079116877,35.39118097472714,34.1161,3.529769413628555,-0.643835733466983,-8.002568622369793,-15.938413459442344,-0.0667237852972388
2019-01-04,36.322,35.38096,37.862268,36.681771720650715,35.925389088090846,-0.7563826325598697,1.2980912907951632,40.45845058159033,35.26608541840967,36.01172699157572,35.322,3.5645059992741794,2.59082649633831,-4.240592478387747,-11.388278678460228,2.9070937216847343
2019-01-07,36.5768,35.501549999999995,37.806718000000004,36.673996037639554,36.02560615146149,-0.6483898861780659,1.1899664245601007,40.186650849120205,35.4267851508798,36.38844233052524,35.5768,3.5716937400254998,2.9397049495855407,-3.3625631547866544,-9.869236371471006,3.144110061897697
2019-01-08,36.932,35.73075,37.762556,36.69310744225885,36.16505135892895,-0.5280560833299006,1.1525293394947205,40.067614678989436,35.45749732101056,36.75081411017508,35.932,3.58162826336696,3.252599371818482,-2.2488790209032663,-8.490237948092261,3.9924799062857286
2019-01-09,37.095,36.06994,37.745812,36.72287726135079,36.30812038063219,-0.41475688071859906,1.1136217149824006,39.9730554299648,35.5185685700352,36.980271370058354,36.095,3.5861543515911243,2.7633373770049774,-1.754446690928702,-7.758607440260961,4.249714058403557
2019-01-10,37.2626,36.25843,37.718326000000005,36.76285672347296,36.45496339899647,-0.3078933244764883,1.0811706828109124,39.88066736562183,35.55598463437818,37.16849045668612,36.2626,3.5907869071134892,2.694846843752186,-1.2230118134537193,-7.0259921895461765,4.5799685626387365
2019-01-11,37.2572,36.41574,37.704092,36.799474743956445,36.57838441453548,-0.22109032942096718,1.0289038594549975,39.76189971891,35.646284281090004,37.227630152228706,36.2572,3.5906379822678614,2.258516474667978,-1.1994782216591837,-6.722726664671538,4.32377022135317
2019-01-14,37.0654,36.55777,37.691004,36.81917291107078,36.65330988922233,-0.1658630218484518,0.9616217283982832,39.61424745679657,35.76776054320343,37.11947671740956,36.0654,3.58533395697967,1.3695521969275901,-1.6878382534655036,-6.876622016210732,3.500945509279725
2019-01-15,37.4633,36.708870000000005,37.673986,36.866886028769244,36.77792375241889,-0.08896227635035103,0.9753768497632174,39.62473969952644,35.72323230047356,37.34869223913652,36.4633,3.596306275302828,2.0137841567613965,-0.5623797156150222,-5.769485601979644,4.644726170749601
2019-01-16,37.5476,36.8638,37.650308,36.917309285897446,36.896335482815985,-0.020973803081460574,1.024027601126948,39.6983632022539,35.602252797746104,37.4812974130455,36.5476,3.598615520565155,1.8211550139023667,-0.2735407855628583,-5.728097674029494,5.181016102903778
